base_filename,true_label,ae_predicted,as_predicted,ae_correct,as_correct
airport-barcelona-1-40,airport,airport,street_pedestrian,True,False
airport-barcelona-1-51,airport,airport,street_pedestrian,True,False
airport-barcelona-1-70,airport,airport,street_pedestrian,True,False
airport-barcelona-203-6134,airport,airport,street_pedestrian,True,False
airport-barcelona-203-6135,airport,airport,street_pedestrian,True,False
airport-barcelona-203-6136,airport,airport,street_pedestrian,True,False
airport-helsinki-204-6144,airport,airport,metro_station,True,False
airport-helsinki-3-117,airport,airport,public_square,True,False
airport-helsinki-3-138,airport,airport,metro_station,True,False
airport-helsinki-3-147,airport,airport,metro_station,True,False
airport-helsinki-4-170,airport,airport,shopping_mall,True,False
airport-helsinki-4-174,airport,airport,street_pedestrian,True,False
airport-helsinki-4-184,airport,airport,street_pedestrian,True,False
airport-helsinki-4-186,airport,airport,metro_station,True,False
airport-lisbon-1000-40463,airport,airport,street_pedestrian,True,False
airport-lisbon-1000-41312,airport,airport,street_pedestrian,True,False
airport-lisbon-1000-43069,airport,airport,shopping_mall,True,False
airport-lisbon-1000-43865,airport,airport,street_pedestrian,True,False
airport-lisbon-1114-40219,airport,airport,metro_station,True,False
airport-lisbon-1114-40411,airport,airport,street_pedestrian,True,False
airport-lisbon-1114-40725,airport,airport,shopping_mall,True,False
airport-lisbon-1114-40796,airport,airport,shopping_mall,True,False
airport-lisbon-1114-41736,airport,airport,metro_station,True,False
airport-lisbon-1114-42707,airport,airport,metro_station,True,False
airport-lisbon-1114-43732,airport,airport,shopping_mall,True,False
airport-lisbon-1122-40344,airport,airport,street_pedestrian,True,False
airport-lisbon-1122-41037,airport,airport,public_square,True,False
airport-lisbon-1122-41270,airport,airport,public_square,True,False
airport-lisbon-1122-41837,airport,airport,public_square,True,False
airport-lisbon-1122-42593,airport,airport,street_pedestrian,True,False
airport-lisbon-1122-42956,airport,airport,street_pedestrian,True,False
airport-lisbon-1122-43249,airport,airport,shopping_mall,True,False
airport-lisbon-1122-43307,airport,airport,street_pedestrian,True,False
airport-lisbon-1122-43393,airport,airport,street_pedestrian,True,False
airport-lisbon-1122-43685,airport,airport,street_pedestrian,True,False
airport-lisbon-1175-44700,airport,airport,street_pedestrian,True,False
airport-lisbon-1175-44703,airport,airport,shopping_mall,True,False
airport-london-205-6197,airport,airport,street_pedestrian,True,False
airport-london-205-6198,airport,airport,street_pedestrian,True,False
airport-london-205-6203,airport,airport,street_pedestrian,True,False
airport-london-205-6214,airport,airport,street_pedestrian,True,False
airport-london-205-6226,airport,airport,street_pedestrian,True,False
airport-london-5-222,airport,airport,street_pedestrian,True,False
airport-london-5-240,airport,airport,street_pedestrian,True,False
airport-london-6-257,airport,airport,public_square,True,False
airport-london-6-266,airport,airport,street_pedestrian,True,False
airport-london-6-272,airport,airport,street_pedestrian,True,False
airport-london-6-275,airport,airport,street_pedestrian,True,False
airport-london-6-276,airport,airport,street_pedestrian,True,False
airport-london-6-289,airport,airport,street_pedestrian,True,False
airport-london-6-294,airport,airport,street_pedestrian,True,False
airport-london-6-300,airport,airport,street_pedestrian,True,False
airport-london-6-302,airport,airport,street_pedestrian,True,False
airport-london-6-306,airport,airport,street_pedestrian,True,False
airport-lyon-1041-41216,airport,airport,metro_station,True,False
airport-lyon-1041-42942,airport,airport,metro_station,True,False
airport-lyon-1041-43521,airport,airport,street_pedestrian,True,False
airport-lyon-1041-43878,airport,airport,metro_station,True,False
airport-lyon-1095-42436,airport,airport,metro_station,True,False
airport-lyon-1095-42753,airport,airport,shopping_mall,True,False
airport-lyon-1095-43600,airport,airport,metro_station,True,False
airport-lyon-1169-44283,airport,airport,street_pedestrian,True,False
airport-lyon-1169-44330,airport,airport,street_pedestrian,True,False
airport-milan-1061-40507,airport,airport,street_pedestrian,True,False
airport-milan-1061-41750,airport,airport,street_pedestrian,True,False
airport-milan-1061-42752,airport,airport,street_pedestrian,True,False
airport-milan-1061-42883,airport,airport,street_pedestrian,True,False
airport-milan-1089-42696,airport,airport,street_pedestrian,True,False
airport-milan-1108-41690,airport,airport,shopping_mall,True,False
airport-milan-1108-42936,airport,airport,street_pedestrian,True,False
airport-milan-1108-43082,airport,airport,street_pedestrian,True,False
airport-milan-1108-43191,airport,airport,street_pedestrian,True,False
airport-milan-1108-43786,airport,airport,shopping_mall,True,False
airport-milan-1172-44126,airport,airport,shopping_mall,True,False
airport-milan-1172-44205,airport,airport,street_pedestrian,True,False
airport-milan-1172-44215,airport,airport,shopping_mall,True,False
airport-milan-1172-44409,airport,airport,street_pedestrian,True,False
airport-milan-1172-44524,airport,airport,street_pedestrian,True,False
airport-milan-1172-44687,airport,airport,shopping_mall,True,False
airport-milan-1172-44925,airport,airport,shopping_mall,True,False
airport-milan-1172-45028,airport,airport,shopping_mall,True,False
airport-milan-1172-45190,airport,airport,shopping_mall,True,False
airport-milan-1172-45327,airport,airport,metro_station,True,False
airport-milan-1172-45420,airport,airport,shopping_mall,True,False
airport-paris-206-6237,airport,airport,metro_station,True,False
airport-paris-206-6244,airport,airport,metro_station,True,False
airport-paris-206-6247,airport,airport,public_square,True,False
airport-paris-206-6249,airport,airport,metro_station,True,False
airport-paris-206-6253,airport,airport,metro_station,True,False
airport-paris-206-6255,airport,airport,metro_station,True,False
airport-paris-206-6259,airport,airport,metro_station,True,False
airport-paris-206-6260,airport,airport,metro_station,True,False
airport-paris-206-6264,airport,airport,metro_station,True,False
airport-paris-206-6265,airport,airport,metro_station,True,False
airport-paris-206-6268,airport,airport,metro_station,True,False
airport-paris-206-6272,airport,airport,metro_station,True,False
airport-paris-206-6275,airport,airport,metro_station,True,False
airport-paris-7-308,airport,airport,shopping_mall,True,False
airport-paris-7-314,airport,airport,shopping_mall,True,False
airport-paris-9-373,airport,airport,shopping_mall,True,False
airport-paris-9-374,airport,airport,shopping_mall,True,False
airport-paris-9-377,airport,airport,shopping_mall,True,False
airport-paris-9-396,airport,airport,shopping_mall,True,False
airport-paris-9-397,airport,airport,shopping_mall,True,False
airport-paris-9-410,airport,airport,shopping_mall,True,False
airport-prague-1015-40987,airport,airport,shopping_mall,True,False
airport-prague-1015-41221,airport,airport,shopping_mall,True,False
airport-prague-1023-40436,airport,airport,shopping_mall,True,False
airport-prague-1023-41418,airport,airport,shopping_mall,True,False
airport-prague-1023-42332,airport,airport,shopping_mall,True,False
airport-prague-1034-43157,airport,airport,shopping_mall,True,False
airport-prague-1069-40257,airport,airport,metro_station,True,False
airport-prague-1069-41871,airport,airport,shopping_mall,True,False
airport-prague-1069-44057,airport,airport,street_pedestrian,True,False
airport-stockholm-11-462,airport,airport,street_pedestrian,True,False
airport-stockholm-11-464,airport,airport,street_pedestrian,True,False
airport-stockholm-11-466,airport,airport,metro_station,True,False
airport-stockholm-11-474,airport,airport,public_square,True,False
airport-stockholm-11-475,airport,airport,street_pedestrian,True,False
airport-stockholm-11-477,airport,airport,street_pedestrian,True,False
airport-stockholm-207-6288,airport,airport,shopping_mall,True,False
airport-stockholm-207-6301,airport,airport,street_pedestrian,True,False
airport-stockholm-208-6324,airport,airport,shopping_mall,True,False
airport-stockholm-208-6328,airport,airport,shopping_mall,True,False
airport-vienna-13-541,airport,airport,street_pedestrian,True,False
airport-vienna-13-548,airport,airport,street_pedestrian,True,False
airport-vienna-13-558,airport,airport,street_pedestrian,True,False
airport-vienna-14-564,airport,airport,shopping_mall,True,False
airport-vienna-14-568,airport,airport,metro_station,True,False
airport-vienna-209-6347,airport,airport,metro_station,True,False
bus-barcelona-16-647,bus,bus,tram,True,False
bus-barcelona-210-6392,bus,bus,metro,True,False
bus-barcelona-210-6400,bus,bus,metro,True,False
bus-barcelona-210-6404,bus,bus,metro,True,False
bus-barcelona-210-6409,bus,bus,metro,True,False
bus-lisbon-1106-42268,bus,bus,tram,True,False
bus-lisbon-1106-43861,bus,bus,tram,True,False
bus-lisbon-1123-40729,bus,bus,metro,True,False
bus-lisbon-1123-40788,bus,bus,metro,True,False
bus-lisbon-1123-41222,bus,bus,metro,True,False
bus-lisbon-1123-41297,bus,bus,metro,True,False
bus-lisbon-1123-42725,bus,bus,metro,True,False
bus-lisbon-1123-43119,bus,bus,metro,True,False
bus-lisbon-1156-40685,bus,bus,metro,True,False
bus-lisbon-1212-44366,bus,bus,metro,True,False
bus-lisbon-1212-45534,bus,bus,metro,True,False
bus-lisbon-1212-45601,bus,bus,metro,True,False
bus-lisbon-1223-45244,bus,bus,tram,True,False
bus-lisbon-1226-45085,bus,bus,metro,True,False
bus-london-212-6480,bus,bus,tram,True,False
bus-london-22-833,bus,bus,metro,True,False
bus-london-22-835,bus,bus,tram,True,False
bus-london-22-844,bus,bus,tram,True,False
bus-lyon-1001-42349,bus,bus,metro,True,False
bus-lyon-1073-42169,bus,bus,tram,True,False
bus-lyon-1129-43108,bus,bus,metro,True,False
bus-lyon-1159-41285,bus,bus,tram,True,False
bus-lyon-1159-42272,bus,bus,tram,True,False
bus-lyon-1159-42892,bus,bus,tram,True,False
bus-lyon-1159-43767,bus,bus,tram,True,False
bus-lyon-1177-44264,bus,bus,tram,True,False
bus-lyon-1177-45521,bus,bus,tram,True,False
bus-milan-1078-40258,bus,bus,street_traffic,True,False
bus-milan-1078-40500,bus,bus,metro,True,False
bus-milan-1078-40649,bus,bus,metro,True,False
bus-milan-1078-41458,bus,bus,metro,True,False
bus-milan-1078-43958,bus,bus,metro,True,False
bus-milan-1083-40287,bus,bus,metro,True,False
bus-milan-1083-40552,bus,bus,metro,True,False
bus-milan-1083-40804,bus,bus,metro,True,False
bus-milan-1115-40220,bus,bus,metro,True,False
bus-milan-1115-40248,bus,bus,metro,True,False
bus-milan-1115-41857,bus,bus,metro,True,False
bus-milan-1115-42999,bus,bus,metro,True,False
bus-milan-1154-40556,bus,bus,metro,True,False
bus-milan-1154-41234,bus,bus,metro,True,False
bus-milan-1154-43356,bus,bus,metro,True,False
bus-milan-1155-43531,bus,bus,metro,True,False
bus-milan-1180-44182,bus,bus,metro,True,False
bus-milan-1180-45238,bus,bus,tram,True,False
bus-milan-1180-45318,bus,bus,street_traffic,True,False
bus-milan-1190-44132,bus,bus,metro,True,False
bus-milan-1190-44511,bus,bus,metro,True,False
bus-milan-1190-45491,bus,bus,metro,True,False
bus-paris-214-6519,bus,bus,tram,True,False
bus-paris-29-954,bus,bus,metro,True,False
bus-paris-29-961,bus,bus,tram,True,False
bus-paris-29-963,bus,bus,tram,True,False
bus-paris-29-965,bus,bus,metro,True,False
bus-paris-30-968,bus,bus,metro,True,False
bus-paris-30-974,bus,bus,tram,True,False
bus-paris-33-1015,bus,bus,metro,True,False
bus-prague-1030-44021,bus,bus,metro,True,False
bus-prague-1032-41203,bus,bus,metro,True,False
bus-prague-1120-41266,bus,bus,metro,True,False
bus-prague-1120-42543,bus,bus,metro,True,False
bus-prague-1120-42683,bus,bus,metro,True,False
bus-prague-1120-43520,bus,bus,metro,True,False
bus-prague-1138-43184,bus,bus,metro,True,False
bus-prague-1147-43067,bus,bus,metro,True,False
bus-prague-1147-43420,bus,bus,metro,True,False
bus-prague-1215-45332,bus,bus,metro,True,False
bus-prague-1215-45666,bus,bus,metro,True,False
bus-stockholm-217-6547,bus,bus,tram,True,False
bus-stockholm-217-6548,bus,bus,metro_station,True,False
bus-stockholm-217-6557,bus,bus,metro_station,True,False
bus-stockholm-218-6585,bus,bus,metro,True,False
bus-stockholm-36-1087,bus,bus,tram,True,False
bus-stockholm-37-1101,bus,bus,tram,True,False
bus-vienna-219-6595,bus,bus,tram,True,False
bus-vienna-219-6616,bus,bus,tram,True,False
bus-vienna-219-6623,bus,bus,tram,True,False
bus-vienna-38-1129,bus,bus,metro,True,False
