,precision,recall,f1-score,support
airport,0.52,0.34156050955414013,0.4123017779913503,1256.0
bus,0.664043583535109,0.8734076433121019,0.7544704264099037,1256.0
metro,0.6190476190476191,0.6418495297805643,0.6302424009234321,1276.0
metro_station,0.7393034825870647,0.5777604976671851,0.6486250545613269,1286.0
park,0.8720073664825047,0.8959318826868495,0.8838077461502567,1057.0
public_square,0.5188199389623601,0.5821917808219178,0.5486820871436257,876.0
shopping_mall,0.6846038863976084,0.7322142286171063,0.7076091154886056,1251.0
street_pedestrian,0.47333333333333333,0.6077821011673151,0.5321976149914821,1285.0
street_traffic,0.8839694656488549,0.9046875,0.8942084942084942,1280.0
tram,0.6370449678800857,0.4637568199532346,0.5367613892647722,1283.0
accuracy,0.6604163224847184,0.6604163224847184,0.6604163224847184,0.6604163224847184
macro avg,0.6612173643874539,0.6621142493560414,0.654890610713325,12106.0
weighted avg,0.6622739335347997,0.6604163224847184,0.6543005106760824,12106.0
