,precision,recall,f1-score,support
airport,0.5333333333333333,0.4,0.45714285714285713,40.0
bus,0.5964912280701754,0.8292682926829268,0.6938775510204082,41.0
metro,0.6341463414634146,0.6046511627906976,0.6190476190476191,43.0
metro_station,0.68,0.4857142857142857,0.5666666666666667,35.0
park,0.8823529411764706,0.8571428571428571,0.8695652173913043,35.0
public_square,0.4444444444444444,0.5,0.47058823529411764,32.0
shopping_mall,0.7045454545454546,0.8378378378378378,0.7654320987654321,37.0
street_pedestrian,0.5,0.5833333333333334,0.5384615384615384,48.0
street_traffic,0.9285714285714286,0.9512195121951219,0.9397590361445783,41.0
tram,0.7428571428571429,0.5416666666666666,0.6265060240963856,48.0
accuracy,0.6575,0.6575,0.6575,0.6575
macro avg,0.6646742314461865,0.6590833948363728,0.6547046844030907,400.0
weighted avg,0.6643977369432231,0.6575,0.653625580267671,400.0
