,precision,recall,f1-score,support
airport,0.49858156028368794,0.5570522979397782,0.5261976047904192,1262.0
bus,0.7837209302325582,0.792319749216301,0.7879968823070927,1276.0
metro,0.6212553495007133,0.6879936808846762,0.6529235382308846,1266.0
metro_station,0.7325383304940375,0.672926447574335,0.7014681892332789,1278.0
park,0.9067961165048544,0.9032882011605415,0.9050387596899225,1034.0
public_square,0.6169934640522876,0.5351473922902494,0.573163327261688,882.0
shopping_mall,0.7114914425427873,0.68203125,0.6964499401675309,1280.0
street_pedestrian,0.504424778761062,0.5327102803738317,0.5181818181818182,1284.0
street_traffic,0.8735806207418623,0.9232,0.897705173084403,1250.0
tram,0.6914235190097259,0.6043276661514683,0.6449484536082474,1294.0
accuracy,0.68924500247811,0.68924500247811,0.68924500247811,0.68924500247811
macro avg,0.6940806112123576,0.689099696559118,0.6904073686555285,12106.0
weighted avg,0.6921208315351118,0.68924500247811,0.6895307467172022,12106.0
