,precision,recall,f1-score,support
airport,0.511326860841424,0.5031847133757962,0.507223113964687,1256.0
bus,0.6916558018252934,0.8447452229299363,0.760573476702509,1256.0
metro,0.59593837535014,0.6669278996865203,0.6294378698224852,1276.0
metro_station,0.810062893081761,0.5007776049766719,0.6189332051898125,1286.0
park,0.8410480349344979,0.9110690633869442,0.8746594005449592,1057.0
public_square,0.5571120689655172,0.5901826484018264,0.573170731707317,876.0
shopping_mall,0.6338939197930142,0.7833733013589129,0.7007508044333214,1251.0
street_pedestrian,0.5601374570446735,0.5073929961089494,0.532462229481421,1285.0
street_traffic,0.9060728744939271,0.87421875,0.8898608349900596,1280.0
tram,0.6611872146118721,0.5643024162120032,0.6089150546677881,1283.0
accuracy,0.6726416652899389,0.6726416652899389,0.6726416652899389,0.6726416652899389
macro avg,0.676843550094212,0.6746174616437561,0.6695986721504361,12106.0
weighted avg,0.6782567998316209,0.6726416652899389,0.6690227155256054,12106.0
