,AE_precision,AS_precision,precision_diff,AE_recall,AS_recall,recall_diff,AE_f1,AS_f1,f1_diff
airport,0.5006925207756233,0.4985815602836879,0.002110960491935432,0.5756369426751592,0.5570522979397782,0.018584644735381017,0.5355555555555556,0.5261976047904192,0.009357950765136347
bus,0.7386206896551725,0.7837209302325582,-0.04510024057738571,0.8527070063694268,0.792319749216301,0.06038725715312576,0.7915742793791575,0.7879968823070927,0.0035773970720647252
metro,0.6604938271604939,0.6212553495007133,0.03923847765978061,0.670846394984326,0.6879936808846762,-0.017147285900350195,0.6656298600311042,0.6529235382308846,0.012706321800219689
metro_station,0.7714016933207902,0.7325383304940375,0.038863362826752734,0.6376360808709176,0.672926447574335,-0.03529036670341734,0.6981694338016177,0.7014681892332789,-0.003298755431661249
park,0.9101229895931884,0.9067961165048544,0.0033268730883340147,0.9101229895931884,0.9032882011605416,0.006834788432646732,0.9101229895931884,0.9050387596899224,0.005084229903265958
public_square,0.5949895615866388,0.6169934640522876,-0.02200390246564876,0.6506849315068494,0.5351473922902494,0.11553753921659993,0.6215921483097055,0.573163327261688,0.0484288210480176
shopping_mall,0.7080696202531646,0.7114914425427873,-0.0034218222896227335,0.715427657873701,0.68203125,0.03339640787370102,0.7117296222664016,0.6964499401675309,0.01527968209887065
street_pedestrian,0.5699013157894737,0.504424778761062,0.06547653702841172,0.5392996108949416,0.5327102803738317,0.006589330521109882,0.5541783286685326,0.5181818181818182,0.03599651048671437
street_traffic,0.9052547770700636,0.8735806207418623,0.031674156328201364,0.88828125,0.9232,-0.03491875,0.8966876971608833,0.897705173084403,-0.0010174759235197506
tram,0.7041742286751361,0.6914235190097259,0.012750709665410254,0.6048324240062354,0.6043276661514683,0.0005047578547671128,0.6507337526205451,0.6449484536082474,0.00578529901229774
