base_filename,true_label,ae_predicted,as_predicted,ae_correct,as_correct
airport-barcelona-0-15,airport,street_pedestrian,airport,False,True
airport-barcelona-1-25,airport,metro_station,airport,False,True
airport-barcelona-1-54,airport,street_pedestrian,airport,False,True
airport-barcelona-1-60,airport,street_pedestrian,airport,False,True
airport-barcelona-1-63,airport,metro,airport,False,True
airport-barcelona-1-64,airport,metro,airport,False,True
airport-barcelona-1-78,airport,metro,airport,False,True
airport-barcelona-1-83,airport,street_pedestrian,airport,False,True
airport-barcelona-1-86,airport,street_pedestrian,airport,False,True
airport-barcelona-1-96,airport,street_pedestrian,airport,False,True
airport-barcelona-2-101,airport,street_pedestrian,airport,False,True
airport-barcelona-203-6137,airport,street_pedestrian,airport,False,True
airport-helsinki-204-6138,airport,street_pedestrian,airport,False,True
airport-helsinki-204-6146,airport,street_pedestrian,airport,False,True
airport-helsinki-204-6172,airport,street_pedestrian,airport,False,True
airport-helsinki-3-136,airport,street_pedestrian,airport,False,True
airport-helsinki-3-139,airport,street_pedestrian,airport,False,True
airport-helsinki-3-150,airport,street_pedestrian,airport,False,True
airport-helsinki-3-164,airport,street_pedestrian,airport,False,True
airport-helsinki-4-172,airport,street_pedestrian,airport,False,True
airport-helsinki-4-181,airport,street_pedestrian,airport,False,True
airport-helsinki-4-182,airport,street_pedestrian,airport,False,True
airport-helsinki-4-201,airport,street_pedestrian,airport,False,True
airport-helsinki-4-220,airport,street_pedestrian,airport,False,True
airport-lisbon-1000-40073,airport,public_square,airport,False,True
airport-lisbon-1000-40242,airport,shopping_mall,airport,False,True
airport-lisbon-1000-41411,airport,shopping_mall,airport,False,True
airport-lisbon-1000-42611,airport,shopping_mall,airport,False,True
airport-lisbon-1175-45707,airport,shopping_mall,airport,False,True
airport-london-205-6179,airport,shopping_mall,airport,False,True
airport-london-205-6180,airport,street_pedestrian,airport,False,True
airport-london-205-6230,airport,street_pedestrian,airport,False,True
airport-london-205-6233,airport,street_pedestrian,airport,False,True
airport-london-5-223,airport,street_pedestrian,airport,False,True
airport-london-5-224,airport,shopping_mall,airport,False,True
airport-london-5-226,airport,street_pedestrian,airport,False,True
airport-london-5-241,airport,street_pedestrian,airport,False,True
airport-london-5-242,airport,street_pedestrian,airport,False,True
airport-london-5-244,airport,street_pedestrian,airport,False,True
airport-london-6-299,airport,metro_station,airport,False,True
airport-lyon-1041-42920,airport,street_pedestrian,airport,False,True
airport-lyon-1095-40245,airport,street_pedestrian,airport,False,True
airport-lyon-1095-42617,airport,street_pedestrian,airport,False,True
airport-lyon-1095-43177,airport,shopping_mall,airport,False,True
airport-lyon-1101-41603,airport,shopping_mall,airport,False,True
airport-lyon-1101-41703,airport,shopping_mall,airport,False,True
airport-lyon-1169-45672,airport,street_pedestrian,airport,False,True
airport-milan-1061-41111,airport,street_pedestrian,airport,False,True
airport-milan-1061-44026,airport,street_pedestrian,airport,False,True
airport-milan-1089-41269,airport,street_pedestrian,airport,False,True
airport-milan-1089-42955,airport,street_pedestrian,airport,False,True
airport-milan-1108-41447,airport,street_pedestrian,airport,False,True
airport-milan-1108-43228,airport,street_pedestrian,airport,False,True
airport-milan-1108-43385,airport,street_pedestrian,airport,False,True
airport-milan-1108-43755,airport,street_pedestrian,airport,False,True
airport-milan-1172-44819,airport,shopping_mall,airport,False,True
airport-milan-1172-45082,airport,shopping_mall,airport,False,True
airport-milan-1172-45165,airport,street_pedestrian,airport,False,True
airport-paris-206-6269,airport,metro_station,airport,False,True
airport-paris-206-6276,airport,shopping_mall,airport,False,True
airport-paris-7-307,airport,shopping_mall,airport,False,True
airport-paris-7-324,airport,shopping_mall,airport,False,True
airport-paris-7-332,airport,shopping_mall,airport,False,True
airport-paris-7-342,airport,street_pedestrian,airport,False,True
airport-paris-7-347,airport,shopping_mall,airport,False,True
airport-paris-7-348,airport,shopping_mall,airport,False,True
airport-paris-7-352,airport,shopping_mall,airport,False,True
airport-paris-9-407,airport,shopping_mall,airport,False,True
airport-paris-9-412,airport,shopping_mall,airport,False,True
airport-prague-1015-40787,airport,street_pedestrian,airport,False,True
airport-prague-1015-43103,airport,street_pedestrian,airport,False,True
airport-prague-1023-42171,airport,shopping_mall,airport,False,True
airport-prague-1034-40148,airport,shopping_mall,airport,False,True
airport-prague-1034-42685,airport,shopping_mall,airport,False,True
airport-prague-1034-43125,airport,shopping_mall,airport,False,True
airport-prague-1034-43893,airport,shopping_mall,airport,False,True
airport-prague-1069-40583,airport,shopping_mall,airport,False,True
airport-prague-1069-40919,airport,street_pedestrian,airport,False,True
airport-prague-1069-41725,airport,shopping_mall,airport,False,True
airport-prague-1069-43322,airport,metro_station,airport,False,True
airport-prague-1173-44705,airport,street_pedestrian,airport,False,True
