Filename,Description
bus-lisbon-1059-40082-a.wav,"It is the sound of a vehicle or motor vehicle (road), likely a bus, with engine idling and also includes the sound of a clock ticking."
airport-stockholm-10-447-a.wav,This is the sound of a city environment during the day.
metro-paris-49-1510-a.wav,This is the sound of a bus door opening and closing.
metro_station-milan-1117-43284-a.wav,This is the sound of an engine idling.
bus-barcelona-16-648-a.wav,It is the sound of a vehicle engine idling.
street_traffic-lyon-1110-43214-a.wav,This is a sound of a car passing by at a moderate speed.
airport-helsinki-4-201-a.wav,"This is a low quality, noisy, and mono recording of people murmuring in a crowded indoor space."
street_traffic-stockholm-173-5314-a.wav,This is the sound of a car passing by at a moderate speed.
metro-stockholm-56-1656-a.wav,A bus running on the road.
public_square-paris-116-3387-a.wav,"This is a recording of a park. There are sounds of people walking and talking, birds chirping, and a dog barking."
park-lisbon-1104-42980-a.wav,This is a recording of birds chirping in the background while a man is speaking in the foreground.
street_traffic-prague-1193-45586-a.wav,This is the sound of a truck's engine idling.
metro-lyon-1206-44910-a.wav,This is the sound of a crowd in a room.
park-london-96-2687-a.wav,This is an amateur recording of birds chirping in the background while a dog barks nearby.
public_square-paris-251-7525-a.wav,This is a recording of an outdoor environment with a machine running in the background. There is also the sound of a bird chirping and the wind blowing.
metro-stockholm-55-1639-a.wav,It is the sound of a train running on railroad tracks passing by.
street_traffic-lyon-1029-41652-a.wav,The sound is of traffic in the distance.
street_pedestrian-prague-1085-43483-a.wav,This is a recording of a crowd in a large European city. The crowd is quietly talking and there is the occasional cough.
public_square-paris-118-3466-a.wav,Horse hooves clicking and snorting.
metro-helsinki-222-6758-a.wav,"It is the sound of rail transport, specifically a subway or metro or underground."
street_traffic-stockholm-174-5372-a.wav,"
This is the sound of a car passing by at a moderate speed."
metro_station-vienna-86-2356-a.wav,This is a recording of a crowded indoor environment where many children are talking and playing.
park-prague-1185-45741-a.wav,This is the sound of water flowing and bubbling.
street_pedestrian-lisbon-1004-42754-a.wav,"This is a recording of a female singing in a foreign language with a sad mood. In the background, there is the sound of a crowd murmuring."
park-barcelona-89-2455-a.wav,This audio contains birds chirping and a dog barking in the distance.
public_square-stockholm-121-3567-a.wav,This is an amateur recording of birds chirping in the background while a car horn honks nearby.
bus-paris-27-929-a.wav,It is the sound of a bus moving on the road.
shopping_mall-vienna-140-4273-a.wav,This is the sound of an elevator.
metro_station-barcelona-61-1851-a.wav,This is the sound of an elevator in a building.
street_pedestrian-london-263-7977-a.wav,"This is a recording of a park. There are sounds of people walking and talking, birds chirping, and a dog barking."
metro-lisbon-1224-45583-a.wav,It is the sound of a vehicle engine idling.
street_traffic-london-270-8232-a.wav,The sound is of a vehicle engine idling loudly.
metro_station-paris-238-7061-a.wav,This is a low quality recording featuring distant murmuring and a man speaking over it. The recording is noisy and in mono.
metro_station-lyon-1167-45272-a.wav,"It is an ambient experimental electronic piece with a dark and meditative soundscape, including synthesizer, bass, drums, piano, and electric guitar."
tram-paris-191-5846-a.wav,It is the sound of a vehicle running on railroad tracks.
