audio_file,true_scene,ae_prediction,as_prediction,inconsistency_type,event_name,probability
street_pedestrian-paris-153-4646-a.wav,street_pedestrian,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Ambient music,0.3
street_pedestrian-paris-153-4646-a.wav,street_pedestrian,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Background music,0.2
street_pedestrian-paris-153-4646-a.wav,street_pedestrian,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Environmental sounds,0.2
street_pedestrian-vienna-160-4872-a.wav,street_pedestrian,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Ambient music,0.3
street_pedestrian-vienna-160-4872-a.wav,street_pedestrian,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Background music,0.2
street_pedestrian-vienna-160-4872-a.wav,street_pedestrian,street_pedestrian,airport,AE:street_pedestrian vs AS:airport,Environmental sounds,0.2
street_pedestrian-london-150-4541-a.wav,street_pedestrian,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Ambient music,0.3
street_pedestrian-london-150-4541-a.wav,street_pedestrian,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Background music,0.2
street_pedestrian-london-150-4541-a.wav,street_pedestrian,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Environmental sounds,0.2
street_pedestrian-lisbon-1099-42250-a.wav,street_pedestrian,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Ambient music,0.3
street_pedestrian-lisbon-1099-42250-a.wav,street_pedestrian,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Background music,0.2
street_pedestrian-lisbon-1099-42250-a.wav,street_pedestrian,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Environmental sounds,0.2
street_pedestrian-vienna-158-4819-a.wav,street_pedestrian,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Ambient music,0.3
street_pedestrian-vienna-158-4819-a.wav,street_pedestrian,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Background music,0.2
street_pedestrian-vienna-158-4819-a.wav,street_pedestrian,airport,street_pedestrian,AE:airport vs AS:street_pedestrian,Environmental sounds,0.2
metro_station-milan-1187-44944-a.wav,metro_station,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Ambient music,0.3
metro_station-milan-1187-44944-a.wav,metro_station,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Background music,0.2
metro_station-milan-1187-44944-a.wav,metro_station,shopping_mall,metro_station,AE:shopping_mall vs AS:metro_station,Environmental sounds,0.2
metro_station-barcelona-62-1871-a.wav,metro_station,airport,metro_station,AE:airport vs AS:metro_station,Ambient music,0.3
metro_station-barcelona-62-1871-a.wav,metro_station,airport,metro_station,AE:airport vs AS:metro_station,Background music,0.2
metro_station-barcelona-62-1871-a.wav,metro_station,airport,metro_station,AE:airport vs AS:metro_station,Environmental sounds,0.2
metro_station-prague-1019-43305-a.wav,metro_station,metro_station,airport,AE:metro_station vs AS:airport,Ambient music,0.3
metro_station-prague-1019-43305-a.wav,metro_station,metro_station,airport,AE:metro_station vs AS:airport,Background music,0.2
metro_station-prague-1019-43305-a.wav,metro_station,metro_station,airport,AE:metro_station vs AS:airport,Environmental sounds,0.2
metro_station-milan-1127-40753-a.wav,metro_station,airport,metro_station,AE:airport vs AS:metro_station,Ambient music,0.3
metro_station-milan-1127-40753-a.wav,metro_station,airport,metro_station,AE:airport vs AS:metro_station,Background music,0.2
metro_station-milan-1127-40753-a.wav,metro_station,airport,metro_station,AE:airport vs AS:metro_station,Environmental sounds,0.2
metro_station-paris-238-7063-a.wav,metro_station,metro_station,street_traffic,AE:metro_station vs AS:street_traffic,Music,0.41026260660216385
public_square-vienna-122-3614-a.wav,public_square,public_square,street_pedestrian,AE:public_square vs AS:street_pedestrian,Ambient music,0.3
