base_filename,true_label,ae_predicted,as_predicted,ae_correct,as_correct
airport-barcelona-0-1,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-20,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-31,airport,street_pedestrian,public_square,False,False
airport-barcelona-1-32,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-37,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-38,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-48,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-53,airport,public_square,street_pedestrian,False,False
airport-barcelona-1-82,airport,public_square,street_pedestrian,False,False
airport-barcelona-2-102,airport,public_square,street_pedestrian,False,False
airport-barcelona-2-99,airport,public_square,street_pedestrian,False,False
airport-barcelona-203-6128,airport,public_square,street_pedestrian,False,False
airport-helsinki-3-145,airport,street_pedestrian,metro_station,False,False
airport-helsinki-3-165,airport,shopping_mall,metro_station,False,False
airport-lisbon-1114-43635,airport,shopping_mall,metro_station,False,False
airport-lisbon-1122-40992,airport,metro_station,street_traffic,False,False
airport-lisbon-1122-42212,airport,public_square,street_traffic,False,False
airport-lisbon-1175-44210,airport,shopping_mall,street_pedestrian,False,False
airport-london-205-6213,airport,public_square,street_pedestrian,False,False
airport-london-5-230,airport,street_pedestrian,public_square,False,False
airport-london-5-232,airport,public_square,street_pedestrian,False,False
airport-london-5-256,airport,public_square,street_pedestrian,False,False
airport-london-6-262,airport,public_square,street_pedestrian,False,False
airport-london-6-267,airport,public_square,street_pedestrian,False,False
airport-london-6-278,airport,public_square,street_pedestrian,False,False
airport-london-6-283,airport,public_square,street_pedestrian,False,False
airport-london-6-290,airport,public_square,street_pedestrian,False,False
airport-london-6-297,airport,public_square,street_pedestrian,False,False
airport-lyon-1095-43489,airport,shopping_mall,metro_station,False,False
airport-lyon-1101-41267,airport,public_square,street_traffic,False,False
airport-lyon-1169-44279,airport,shopping_mall,metro_station,False,False
airport-lyon-1169-44528,airport,street_pedestrian,public_square,False,False
airport-milan-1061-40921,airport,street_pedestrian,public_square,False,False
airport-milan-1089-40548,airport,public_square,street_pedestrian,False,False
airport-milan-1089-40755,airport,public_square,street_pedestrian,False,False
airport-milan-1089-42174,airport,public_square,street_pedestrian,False,False
airport-milan-1172-45409,airport,metro_station,public_square,False,False
airport-paris-206-6239,airport,metro_station,shopping_mall,False,False
airport-paris-206-6261,airport,metro_station,shopping_mall,False,False
airport-paris-206-6262,airport,metro_station,shopping_mall,False,False
airport-paris-206-6273,airport,shopping_mall,metro_station,False,False
airport-paris-9-413,airport,shopping_mall,metro_station,False,False
airport-prague-1173-44397,airport,street_pedestrian,shopping_mall,False,False
airport-stockholm-10-420,airport,street_pedestrian,public_square,False,False
airport-stockholm-10-429,airport,public_square,street_pedestrian,False,False
airport-stockholm-10-440,airport,street_pedestrian,public_square,False,False
airport-stockholm-11-476,airport,public_square,street_pedestrian,False,False
airport-stockholm-12-491,airport,street_pedestrian,metro,False,False
airport-stockholm-208-6316,airport,shopping_mall,metro_station,False,False
airport-vienna-13-536,airport,public_square,street_pedestrian,False,False
airport-vienna-13-544,airport,public_square,street_pedestrian,False,False
bus-barcelona-16-649,bus,metro,tram,False,False
