,precision,recall,f1-score,support
airport,0.4541935483870968,0.5605095541401274,0.5017818959372773,1256.0
bus,0.5818181818181818,0.89171974522293,0.7041810751336058,1256.0
metro,0.6023454157782516,0.4427899686520376,0.5103884372177055,1276.0
metro_station,0.6906141367323291,0.463452566096423,0.5546765937645416,1286.0
park,0.7540620384047267,0.9659413434247871,0.8469514724180838,1057.0
public_square,0.5915032679738562,0.4132420091324201,0.48655913978494625,876.0
shopping_mall,0.5501710376282782,0.771382893685052,0.6422628951747088,1251.0
street_pedestrian,0.5200974421437271,0.33229571984435796,0.40550807217473883,1285.0
street_traffic,0.8785942492012779,0.859375,0.8688783570300158,1280.0
tram,0.5718418514946962,0.4621979734996103,0.5112068965517241,1283.0
accuracy,0.6156451346439782,0.6156451346439782,0.6156451346439782,0.6156451346439782
macro avg,0.6195241169562422,0.6162906773697746,0.6032394835187348,12106.0
weighted avg,0.6185376355956175,0.6156451346439782,0.602453679978187,12106.0
