,precision,recall,f1-score,support
airport,0.5279146141215106,0.5119426751592356,0.5198059822150364,1256.0
bus,0.7401574803149606,0.8232484076433121,0.7794949114210328,1256.0
metro,0.6666666666666666,0.6347962382445141,0.6503412284223203,1276.0
metro_station,0.7313296903460837,0.6244167962674961,0.6736577181208053,1286.0
park,0.8848314606741573,0.8940397350993378,0.8894117647058823,1057.0
public_square,0.5880861850443599,0.5296803652968036,0.5573573573573574,876.0
shopping_mall,0.6979246733282091,0.7258193445243805,0.7115987460815048,1251.0
street_pedestrian,0.49201065246338216,0.5750972762645914,0.5303193397918909,1285.0
street_traffic,0.8770053475935828,0.896875,0.8868288914638857,1280.0
tram,0.6567411083540116,0.6188620420888542,0.637239165329053,1283.0
accuracy,0.6846191970923509,0.6846191970923509,0.6846191970923509,0.6846191970923509
macro avg,0.6862667878906924,0.6834777880588525,0.6836055104908768,12106.0
weighted avg,0.6860060046904345,0.6846191970923509,0.6840264041704768,12106.0
