,precision,recall,f1-score,support
airport,0.5184590690208668,0.5118858954041204,0.5151515151515151,1262.0
bus,0.7366197183098592,0.8197492163009404,0.7759643916913946,1276.0
metro,0.6579612468407751,0.6169036334913112,0.6367713004484304,1266.0
metro_station,0.7191489361702128,0.661189358372457,0.6889523033020791,1278.0
park,0.8678899082568807,0.9148936170212766,0.8907721280602636,1034.0
public_square,0.631367292225201,0.5340136054421769,0.5786240786240786,882.0
shopping_mall,0.6807511737089202,0.6796875,0.6802189210320563,1280.0
street_pedestrian,0.49314128943758573,0.5599688473520249,0.524434719183078,1284.0
street_traffic,0.8841698841698842,0.916,0.899803536345776,1250.0
tram,0.6655656482246077,0.6228748068006182,0.6435129740518962,1294.0
accuracy,0.683545349413514,0.683545349413514,0.683545349413514,0.683545349413514
macro avg,0.6855074166364792,0.6837166480184926,0.6834205867890568,12106.0
weighted avg,0.6832600961072348,0.683545349413514,0.682290162801539,12106.0
