,precision,recall,f1-score,support
airport,0.4807692307692308,0.625,0.5434782608695652,40.0
bus,0.559322033898305,0.8048780487804879,0.66,41.0
metro,0.7,0.4883720930232558,0.5753424657534246,43.0
metro_station,0.6086956521739131,0.4,0.4827586206896552,35.0
park,0.75,0.9428571428571428,0.8354430379746836,35.0
public_square,0.5238095238095238,0.34375,0.41509433962264153,32.0
shopping_mall,0.5344827586206896,0.8378378378378378,0.6526315789473685,37.0
street_pedestrian,0.6363636363636364,0.4375,0.5185185185185185,48.0
street_traffic,0.8571428571428571,0.8780487804878049,0.8674698795180723,41.0
tram,0.6842105263157895,0.5416666666666666,0.6046511627906976,48.0
accuracy,0.6275,0.6275,0.6275,0.6275
macro avg,0.6334796219093944,0.6299910569653197,0.6155387864684626,400.0
weighted avg,0.6372137605725663,0.6275,0.6164617789187306,400.0
