,precision,recall,f1-score,support
airport,0.3488372093023256,0.16483516483516483,0.22388059701492538,273.0
bus,0.6818181818181818,0.7758620689655172,0.7258064516129032,290.0
metro,0.24166666666666667,0.1124031007751938,0.15343915343915343,258.0
metro_station,0.5735294117647058,0.4984025559105431,0.5333333333333333,313.0
park,0.689873417721519,0.956140350877193,0.8014705882352942,228.0
public_square,0.425531914893617,0.36199095022624433,0.39119804400978,221.0
shopping_mall,0.5088105726872246,0.8048780487804879,0.6234817813765182,287.0
street_pedestrian,0.24641833810888253,0.28289473684210525,0.26339969372128635,304.0
street_traffic,0.9014598540145985,0.8576388888888888,0.8790035587188612,288.0
tram,0.4838709677419355,0.5357142857142857,0.5084745762711864,280.0
accuracy,0.5350109409190372,0.5350109409190372,0.5350109409190372,0.5350109409190372
macro avg,0.5101816534719656,0.5350760151815623,0.5103487777733242,2742.0
weighted avg,0.5113794118349513,0.5350109409190372,0.5112518800622012,2742.0
