,precision,recall,f1-score,support
airport,0.3,0.14516129032258066,0.1956521739130435,62.0
bus,0.631578947368421,0.782608695652174,0.6990291262135923,46.0
metro,0.4666666666666667,0.2153846153846154,0.29473684210526313,65.0
metro_station,0.6721311475409836,0.6212121212121212,0.6456692913385826,66.0
park,0.6716417910447762,0.8823529411764706,0.7627118644067796,51.0
public_square,0.35714285714285715,0.11363636363636363,0.1724137931034483,44.0
shopping_mall,0.5652173913043478,0.7959183673469388,0.6610169491525424,49.0
street_pedestrian,0.33962264150943394,0.6206896551724138,0.43902439024390244,58.0
street_traffic,0.9038461538461539,0.7833333333333333,0.8392857142857143,60.0
tram,0.5277777777777778,0.6666666666666666,0.5891472868217055,57.0
accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
macro avg,0.5435625374201418,0.5626964049903679,0.5298687431584573,558.0
weighted avg,0.5448432000951929,0.5555555555555556,0.5274805338414355,558.0
