,precision,recall,f1-score,support
airport,0.38738738738738737,0.5820063694267515,0.46516067451479476,1256.0
bus,0.7079945799457995,0.8320063694267515,0.7650073206442167,1256.0
metro,0.5088852988691438,0.7405956112852664,0.6032556654963294,1276.0
metro_station,0.7526753864447087,0.49222395023328147,0.5952045133991537,1286.0
park,0.8790397045244691,0.9006622516556292,0.8897196261682243,1057.0
public_square,0.5907990314769975,0.5570776255707762,0.5734430082256169,876.0
shopping_mall,0.694888178913738,0.6954436450839329,0.6951658010387535,1251.0
street_pedestrian,0.4687842278203724,0.3330739299610895,0.38944494995450407,1285.0
street_traffic,0.9169381107491856,0.8796875,0.89792663476874,1280.0
tram,0.702557200538358,0.406858924395947,0.5153010858835143,1283.0
accuracy,0.6393523872459937,0.6393523872459937,0.6393523872459937,0.6393523872459937
macro avg,0.6609949106670161,0.6419636177039425,0.6389629280093847,12106.0
weighted avg,0.6597156263977825,0.6393523872459937,0.6363468130574388,12106.0
