cluster,airport,bus,metro,metro_station,park,public_square,shopping_mall,street_pedestrian,street_traffic,tram
0,7,0,0,11,0,4,61,7,0,0
1,1,0,0,3,59,12,0,4,10,2
2,40,0,1,5,7,70,11,63,8,0
3,9,15,17,9,0,6,3,11,2,26
4,0,10,12,11,4,1,1,1,8,6
5,5,1,4,3,5,3,7,6,9,3
6,0,52,11,1,0,0,0,0,1,34
7,1,11,46,30,0,0,0,1,0,21
8,0,26,36,7,0,0,0,0,2,29
9,2,28,17,7,8,3,0,3,20,1
10,1,5,21,42,0,0,0,0,2,10
11,1,25,10,4,0,0,3,0,0,29
12,54,0,1,15,0,6,54,23,0,1
13,0,0,0,0,0,0,0,0,60,0
14,37,0,1,25,1,6,18,22,0,5
15,0,2,1,1,0,6,0,0,77,1
16,51,0,0,11,0,1,61,26,0,0
17,0,50,29,1,0,0,0,0,1,36
18,0,0,0,0,66,4,0,1,0,0
19,15,0,0,3,8,40,7,35,1,1
