,precision,recall,f1-score,support
airport,0.5533049040511727,0.41321656050955413,0.4731084776663628,1256.0
bus,0.6683417085427136,0.8471337579617835,0.7471910112359551,1256.0
metro,0.5984674329501916,0.6120689655172413,0.6051917861294072,1276.0
metro_station,0.7083333333333334,0.5023328149300156,0.5878070973612375,1286.0
park,0.855098389982111,0.9044465468306528,0.879080459770115,1057.0
public_square,0.5261437908496732,0.5513698630136986,0.5384615384615384,876.0
shopping_mall,0.5515669515669516,0.7737809752198241,0.6440452428476381,1251.0
street_pedestrian,0.5111906893464637,0.4443579766536965,0.47543713572023316,1285.0
street_traffic,0.8431516936671576,0.89453125,0.868081880212282,1280.0
tram,0.6267154620311071,0.5339049103663289,0.5765993265993266,1283.0
accuracy,0.6457954733190153,0.6457954733190153,0.6457954733190153,0.6457954733190153
macro avg,0.6442314356320875,0.6477143621002794,0.6395003956004096,12106.0
weighted avg,0.6446299862402752,0.6457954733190153,0.6384668940145265,12106.0
