,precision,recall,f1-score,support
airport,0.532399299474606,0.4840764331210191,0.5070892410341952,1256.0
bus,0.7081945369753497,0.8463375796178344,0.7711280377221618,1256.0
metro,0.671003717472119,0.5658307210031348,0.6139455782312925,1276.0
metro_station,0.7223264540337712,0.5987558320373251,0.6547619047619048,1286.0
park,0.8307155322862129,0.9006622516556292,0.8642759872900591,1057.0
public_square,0.5213592233009708,0.613013698630137,0.5634837355718783,876.0
shopping_mall,0.70147954743255,0.6442845723421263,0.6716666666666666,1251.0
street_pedestrian,0.48946986201888165,0.5245136186770428,0.5063861758076634,1285.0
street_traffic,0.8480825958702065,0.8984375,0.8725341426403642,1280.0
tram,0.6334125098970704,0.6235385814497272,0.6284367635506677,1283.0
accuracy,0.6676028415661656,0.6676028415661656,0.6676028415661656,0.6676028415661656
macro avg,0.6658443278761738,0.6699450788533976,0.6653708233276854,12106.0
weighted avg,0.6676696744296517,0.6676028415661656,0.665132995747522,12106.0
