,precision,recall,f1-score,support
airport,0.47733918128654973,0.5174326465927099,0.49657794676806083,1262.0
bus,0.6992532247114732,0.8072100313479624,0.7493634048744998,1276.0
metro,0.6128755364806867,0.5639810426540285,0.5874125874125874,1266.0
metro_station,0.6774468085106383,0.622848200312989,0.6490012229922544,1278.0
park,0.8175559380378657,0.9187620889748549,0.8652094717668488,1034.0
public_square,0.5313152400835073,0.5770975056689343,0.5532608695652174,882.0
shopping_mall,0.6241853729181752,0.6734375,0.6478767380683953,1280.0
street_pedestrian,0.48158379373848986,0.4073208722741433,0.4413502109704641,1284.0
street_traffic,0.8823058446757406,0.8816,0.881952781112445,1250.0
tram,0.642791551882461,0.5409582689335394,0.5874947545111204,1294.0
accuracy,0.647530150338675,0.647530150338675,0.647530150338675,0.647530150338675
macro avg,0.6446652492325589,0.6510648156759162,0.6459499988041894,12106.0
weighted avg,0.6444956993340065,0.647530150338675,0.6440768823058485,12106.0
