,precision,recall,f1-score,support
airport,0.26243093922651933,0.35447761194029853,0.30158730158730157,268.0
bus,0.5298969072164949,0.8595317725752508,0.6556122448979592,299.0
metro,0.43548387096774194,0.2903225806451613,0.34838709677419355,279.0
metro_station,0.45691906005221933,0.5555555555555556,0.501432664756447,315.0
park,0.7819548872180451,0.8851063829787233,0.8303393213572854,235.0
public_square,0.48695652173913045,0.2814070351758794,0.35668789808917195,199.0
shopping_mall,0.5952380952380952,0.6896551724137931,0.6389776357827476,290.0
street_pedestrian,0.4537037037037037,0.16498316498316498,0.2419753086419753,297.0
street_traffic,0.9391304347826087,0.7912087912087912,0.8588469184890656,273.0
tram,0.5461254612546126,0.5156794425087108,0.5304659498207885,287.0
accuracy,0.5415754923413567,0.5415754923413567,0.5415754923413567,0.5415754923413567
macro avg,0.548783988139917,0.5387927509985329,0.5264312340196936,2742.0
weighted avg,0.5453514153552114,0.5415754923413567,0.5258915014867321,2742.0
