,precision,recall,f1-score,support
airport,0.4521400778210117,0.4479568234387047,0.4500387296669249,1297.0
bus,0.6607508532423209,0.7658227848101266,0.7094173689996336,1264.0
metro,0.5536,0.5323076923076923,0.5427450980392157,1300.0
metro_station,0.5467052860246199,0.5903049257232212,0.5676691729323309,1279.0
park,0.8190127970749543,0.8732943469785575,0.8452830188679246,1026.0
public_square,0.4490889603429796,0.478310502283105,0.4632393587617468,876.0
shopping_mall,0.6129296235679215,0.5883739198743126,0.6004008016032064,1273.0
street_pedestrian,0.4480633802816901,0.4020537124802528,0.4238134887593672,1266.0
street_traffic,0.8660049627791563,0.8270142180094787,0.8460606060606061,1266.0
tram,0.5755968169761273,0.517077045274027,0.5447698744769874,1259.0
accuracy,0.6002808524698496,0.6002808524698496,0.6002808524698496,0.6002808524698496
macro avg,0.5983892758110781,0.6022515971179478,0.5993437518167943,12106.0
weighted avg,0.5982807041968385,0.6002808524698496,0.5982913793580246,12106.0
