,precision,recall,f1-score,support
airport,0.5147275405007363,0.5538827258320127,0.533587786259542,1262.0
bus,0.7945413191811979,0.8181108508977362,0.8061538461538461,1281.0
metro,0.6314639475600874,0.6963855421686747,0.6623376623376623,1245.0
metro_station,0.7168989547038328,0.637984496124031,0.6751435602953241,1290.0
park,0.9047178538390379,0.9340974212034384,0.9191729323308271,1047.0
public_square,0.6269633507853403,0.5345982142857143,0.5771084337349398,896.0
shopping_mall,0.7025931928687196,0.6821400472069237,0.6922155688622754,1271.0
street_pedestrian,0.5170876671619614,0.5463108320251178,0.5312977099236641,1274.0
street_traffic,0.8701780415430267,0.9243498817966903,0.896446312571647,1269.0
tram,0.690748898678414,0.6168371361132966,0.6517040731504572,1271.0
accuracy,0.695027259210309,0.695027259210309,0.695027259210309,0.695027259210309
macro avg,0.6969920766822355,0.6944697147653637,0.6945167885620185,12106.0
weighted avg,0.6956325812469255,0.695027259210309,0.6941735652110695,12106.0
