,precision,recall,f1-score,support
airport,0.3982229402261712,0.3801079414032382,0.3889546351084813,1297.0
bus,0.5636020151133502,0.7080696202531646,0.6276297335203366,1264.0
metro,0.4802839116719243,0.4684615384615385,0.4742990654205608,1300.0
metro_station,0.47748391708363114,0.5222830336200156,0.4988797610156833,1279.0
park,0.7785501489572989,0.7641325536062378,0.7712739793408756,1026.0
public_square,0.39303482587064675,0.4509132420091324,0.4199893673577884,876.0
shopping_mall,0.5862341772151899,0.582089552238806,0.5841545132045723,1273.0
street_pedestrian,0.41324626865671643,0.3499210110584518,0.378956372968349,1266.0
street_traffic,0.8317991631799163,0.7851500789889415,0.8078017066233238,1266.0
tram,0.48878504672897194,0.41540905480540113,0.44911979390296264,1259.0
accuracy,0.540641004460598,0.540641004460598,0.540641004460598,0.540641004460598
macro avg,0.5411242414703816,0.5426537626444927,0.5401058928462933,12106.0
weighted avg,0.5406355587415206,0.540641004460598,0.5388400939613963,12106.0
